,Current_Contract
Current_Contract,1.0
GS_Per_Game,0.7050013300738716
MIN_Per_Game,0.7239787973815586
FGM_Per_Game,0.8330193255710359
FGA_Per_Game,0.7992791599307317
FG3M_Per_Game,0.5088113905603064
FG3A_Per_Game,0.5098792350605378
FTM_Per_Game,0.7761624664399311
FTA_Per_Game,0.758860660009424
OREB_Per_Game,0.19025121225767985
DREB_Per_Game,0.5973056227464743
AST_Per_Game,0.6184799543784579
STL_Per_Game,0.5300767907675538
BLK_Per_Game,0.2716787847645845
TOV_Per_Game,0.7130487835409048
PF_Per_Game,0.44470904672147693
PTS_Per_Game,0.8414678987863753
